mtbf_days,mtbf_std,mtbf_trend,mttr_min,days_since_last_bd,bd_freq_30d,avg_avail_7d,avg_avail_30d,avg_tonnage_7d,delay_min_7d,delay_min_30d,delay_diversity,machine_id,rul_days
0.83,19.11,0.0,46.35,1.0,158,31.71,30.8,330.19,7315.0,30035.0,12,1,1.0
0.83,19.06,0.0,47.47,1.0,158,30.42,30.83,319.72,7625.0,30250.0,11,1,1.0
0.83,18.99,0.0,47.39,1.0,161,31.0,30.94,330.99,7475.0,30515.0,10,1,1.0
0.83,18.97,0.0,47.33,1.0,158,30.93,31.5,330.76,6820.0,29455.0,10,1,1.0
0.83,18.96,1.0,47.3,1.0,153,30.46,32.09,325.75,6190.0,28550.0,10,1,1.0
0.82,18.92,0.0,47.25,1.0,153,30.17,31.86,325.22,5855.0,28320.0,10,1,1.0
0.82,18.88,0.0,47.12,1.0,151,30.89,32.04,331.33,5825.0,28275.0,10,1,1.0
0.82,18.85,0.0,47.18,1.0,149,37.11,32.77,331.93,5015.0,27965.0,10,1,1.0
0.82,18.81,0.0,47.24,1.0,146,41.38,33.28,343.24,4415.0,27710.0,10,1,1.0
0.81,18.75,0.0,47.84,1.0,146,42.07,33.57,330.72,4540.0,27735.0,10,1,1.0
0.81,18.68,0.0,47.85,1.0,147,44.03,34.37,327.55,4915.0,27360.0,10,1,1.0
0.8,18.56,0.0,47.93,1.0,155,39.77,33.6,318.01,5735.0,27605.0,10,1,1.0
0.8,18.51,0.0,47.81,1.0,153,41.6,34.02,317.89,5585.0,27145.0,10,1,1.0
0.79,18.44,0.0,47.82,1.0,156,42.27,33.71,309.38,5495.0,27235.0,10,1,1.0
0.79,18.39,0.0,47.68,1.0,152,42.23,35.05,312.75,5460.0,26735.0,10,1,1.0
0.78,18.31,0.0,47.67,1.0,156,41.32,35.72,309.54,5550.0,26435.0,10,1,1.0
0.78,18.26,0.0,47.55,1.0,154,45.55,37.16,318.72,4955.0,25650.0,10,1,1.0
0.78,18.21,0.0,47.68,1.0,152,44.88,37.93,315.24,5030.0,25385.0,10,1,1.0
0.77,18.18,0.0,47.6,1.0,149,52.41,39.12,329.06,4400.0,24860.0,10,1,1.0
0.77,18.13,0.0,47.45,1.0,148,51.02,39.81,335.78,4620.0,24550.0,10,1,1.0
0.77,18.1,0.0,47.41,1.0,148,54.2,40.16,344.64,4110.0,24085.0,10,1,1.0
0.77,18.06,0.0,47.39,1.0,149,53.64,40.58,339.87,4185.0,23905.0,10,1,1.0
0.77,18.03,0.0,47.3,1.0,148,58.08,41.46,351.34,3765.0,23465.0,11,1,1.0
