mtbf_days,mtbf_std,mtbf_trend,mttr_min,days_since_last_bd,bd_freq_30d,avg_avail_7d,avg_avail_30d,avg_tonnage_7d,delay_min_7d,delay_min_30d,delay_diversity,machine_id,breakdown_streak,delay_acceleration,availability_trend,tonnage_efficiency,time_since_maintenance,breakdown_severity_avg,rul_days,risk_class
9.19,70.45,0.0,67.46,1.0,61,34.47,34.81,351.12,6605.0,19400.0,11,1,57,1.005,-0.184,0.559,1.0,69.92,1.0,IMMINENT
9.19,70.45,0.0,67.46,1.0,61,34.47,34.81,351.12,6605.0,19400.0,11,1,57,1.005,-0.184,0.0,1.0,69.92,1.0,IMMINENT
9.19,70.45,0.0,67.46,1.0,61,34.47,34.81,351.12,6605.0,19400.0,11,1,57,1.005,-0.184,0.981,1.0,69.92,1.0,IMMINENT
8.79,68.86,0.0,76.69,1.0,64,31.4,33.72,332.85,6915.0,20680.0,11,1,60,1.035,-1.059,1.199,1.0,79.61,1.0,IMMINENT
8.79,68.86,0.0,76.69,1.0,64,31.4,33.72,332.85,6915.0,20680.0,11,1,60,1.035,-1.059,1.106,1.0,79.61,1.0,IMMINENT
8.79,68.86,0.0,76.69,1.0,64,31.4,33.72,332.85,6915.0,20680.0,11,1,60,1.035,-1.059,1.057,1.0,79.61,1.0,IMMINENT
8.43,67.37,0.0,74.51,1.0,67,30.51,33.93,318.43,7005.0,21565.0,11,1,63,1.052,-0.206,1.104,1.0,77.16,1.0,IMMINENT
8.43,67.37,0.0,74.51,1.0,67,30.51,33.93,318.43,7005.0,21565.0,11,1,63,1.052,-0.206,2.286,1.0,77.16,1.0,IMMINENT
8.43,67.37,0.0,74.51,1.0,67,30.51,33.93,318.43,7005.0,21565.0,11,1,63,1.052,-0.206,1.133,1.0,77.16,1.0,IMMINENT
8.1,65.97,0.0,72.09,1.0,70,31.45,34.13,341.98,6910.0,22450.0,11,1,66,1.041,0.11,0.667,1.0,74.5,1.0,IMMINENT
8.1,65.97,0.0,72.09,1.0,70,31.45,34.13,341.98,6910.0,22450.0,11,1,66,1.041,0.11,1.064,1.0,74.5,1.0,IMMINENT
8.1,65.97,0.0,72.09,1.0,70,31.45,34.13,341.98,6910.0,22450.0,11,1,66,1.041,0.11,0.0,1.0,74.5,1.0,IMMINENT
